,links,images,brands,price,rating,catogory
0,https://www.flipkart.com/silk-land-self-design-banarasi-chiffon-saree/p/itm7e3f079201bf1?pid=SARGFHY2NE4M8HVH&lid=LSTSARGFHY2NE4M8HVH2HYHSB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_1&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARGFHY2NE4M8HVH.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/l4n2oi80/sari/4/e/v/free-prchf00012-the-silk-land-unstitched-original-imagfhy2z5wdganz.jpeg?q=50,The Silk Land ,"₹8,500",5,saree
1,https://www.flipkart.com/m-s-retail-woven-banarasi-silk-blend-saree/p/itmf9477d41eed5e?pid=SARFZE9MSKZ5A5UM&lid=LSTSARFZE9MSKZ5A5UMWUAGNA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_2&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFZE9MSKZ5A5UM.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/k5si2kw0/sari/5/u/m/free-ac-rl-5000-m-s-retail-original-imafzeh4m8f9fqgk.jpeg?q=50,M.S.RETAIL ,"₹6,581",3.8,saree
2,https://www.flipkart.com/m-s-retail-woven-banarasi-silk-blend-saree/p/itma7887bbe07dde?pid=SARFZDYHNDDFF922&lid=LSTSARFZDYHNDDFF922WAA6JC&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_3&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFZDYHNDDFF922.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/k5r2mq80/sari/9/2/2/free-ac-rl-5000-m-s-retail-original-imafzd4wbaengmgc.jpeg?q=50,M.S.RETAIL ,"₹6,215",3.8,saree
3,https://www.flipkart.com/m-s-retail-embroidered-bollywood-net-saree/p/itm7a5db45bad805?pid=SARFZBHFJ4JTEWGK&lid=LSTSARFZBHFJ4JTEWGKSWERKQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_4&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFZBHFJ4JTEWGK.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kjuby4w0/sari/1/0/4/free-hm-net-2005-m-s-retail-unstitched-original-imafzbh5xdyrjnfh.jpeg?q=50,M.S.RETAIL ,"₹6,025",3.4,saree
4,https://www.flipkart.com/m-s-retail-embroidered-bollywood-net-saree/p/itm68780f4cbd05b?pid=SARFWTZ5Z9KAXYFY&lid=LSTSARFWTZ5Z9KAXYFYUFNUQF&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_5&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFWTZ5Z9KAXYFY.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kgfg2vk0-0/sari/w/o/f/free-ac-rama-m-s-retail-unstitched-original-imafwza7u7mjmqcz.jpeg?q=50,M.S.RETAIL ,"₹5,967",3.8,saree
5,https://www.flipkart.com/m-s-retail-embroidered-bollywood-net-saree/p/itm7eed357f12ad6?pid=SARFXRYUNYT5EYWE&lid=LSTSARFXRYUNYT5EYWE8NINQC&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_6&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFXRYUNYT5EYWE.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/khtghow0-0/sari/b/o/h/free-hm-net-2008-m-s-retail-unstitched-original-imafxrydrewpeydz.jpeg?q=50,M.S.RETAIL ,"₹5,795",2.7,saree
6,https://www.flipkart.com/m-s-retail-embroidered-bollywood-cotton-blend-saree/p/itm26f0f71260c13?pid=SAREHCHZNGKZ4GBC&lid=LSTSAREHCHZNGKZ4GBCFMYKK4&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_7&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SAREHCHZNGKZ4GBC.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/km3s1ow0/sari/x/1/o/free-ac-anandi-m-s-retail-unstitched-original-imaehcffqug3dgxc.jpeg?q=50,M.S.RETAIL ,"₹5,574",3.7,saree
7,https://www.flipkart.com/mimosa-embellished-kanjivaram-art-silk-saree/p/itmbf80912b5669d?pid=SARF9P6AS3TG63CH&lid=LSTSARF9P6AS3TG63CH8MUECQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_8&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARF9P6AS3TG63CH.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jmwch3k0/sari/3/c/h/free-4338-261-tlk-6-hwt-mrn-mimosa-original-imaf9phhvgv5hc6s.jpeg?q=50,MIMOSA ,"₹5,507",3.9,saree
8,https://www.flipkart.com/mimosa-embellished-bollywood-art-silk-saree/p/itmc8c7db9ed9789?pid=SARF9P9TYCVDGDWG&lid=LSTSARF9P9TYCVDGDWGPVGVER&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_9&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARF9P9TYCVDGDWG.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jmwch3k0/sari/d/w/g/free-4340-207-tlk-5-hwt-mrn-mimosa-original-imaf9pgsaqdbghfp.jpeg?q=50,MIMOSA ,"₹5,507",3.5,saree
9,https://www.flipkart.com/m-s-retail-embroidered-bollywood-net-saree/p/itm7ffd22361aa1d?pid=SARFXQZ9ZRY7VESZ&lid=LSTSARFXQZ9ZRY7VESZKBZTXH&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_10&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFXQZ9ZRY7VESZ.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/khtghow0-0/sari/q/h/b/free-hm-net-2008-m-s-retail-unstitched-original-imafxqyqygbjygvf.jpeg?q=50,M.S.RETAIL ,"₹5,250",2.7,saree
