,links,images,brands,price,rating,category
0,https://www.flipkart.com/arrow-men-printed-formal-blue-shirt/p/itm09e672cb718da?pid=SHTG8DY5HJYQ99NJ&lid=LSTSHTG8DY5HJYQ99NJI7YOEY&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_1&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKEzzEQTzX%2BweU076E95poHEIVkmZqnmRidzmghlD5%2FFzQ%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kxp0mfk0/shirt/7/x/s/40-afacsh0798-arrow-original-imaga3chzg2avyxc.jpeg?q=50,ARROW ,"₹1,179",4.2,shirts
1,https://www.flipkart.com/van-heusen-men-floral-print-formal-multicolor-shirt/p/itmf1ca88773575e?pid=SHTG9RBABZN3U9UC&lid=LSTSHTG9RBABZN3U9UC5KRHEN&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_2&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKGOGPrrDePjHIzqX6cIP5rcMkistVzBzMHWtfGvNioHlw%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kylvr0w0/shirt/4/y/u/40-vhsfccupp69431-van-heusen-original-imagasutf24kyzts.jpeg?q=50,VAN HEUSEN ,"₹1,126",4.7,shirts
2,https://www.flipkart.com/dennis-lingo-men-solid-casual-orange-shirt/p/itmf8t6ez3usv4au?pid=SHTF8SXYEFBG2H5A&lid=LSTSHTF8SXYEFBG2H5ABFYGK0&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_3&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTF8SXYEFBG2H5A.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/jzzvs7k0/shirt/h/a/h/l-c301-dustypink-dennis-lingo-original-imafjvx7b9jguhdv.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
3,https://www.flipkart.com/dennis-lingo-men-solid-casual-green-shirt/p/itmf8h3yjdjtqjgm?pid=SHTF8GZVQCHHUQKQ&lid=LSTSHTF8GZVQCHHUQKQFBBEWU&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_4&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTF8GZVQCHHUQKQ.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/k6fd47k0/shirt/e/u/v/l-c301-dustygreen-dennis-lingo-original-imafzvvr7q8zn9kh.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
4,https://www.flipkart.com/dennis-lingo-men-solid-casual-light-blue-shirt/p/itm6909b49ac7f8c?pid=SHTFYBEFGDW9VXJM&lid=LSTSHTFYBEFGDW9VXJML9V3VD&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_5&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTFYBEFGDW9VXJM.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/jjolt3k0/shirt/p/v/h/l-az301-skyblue-dennis-lingo-original-imaf7588mxx5ger7.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
5,https://www.flipkart.com/dennis-lingo-men-solid-casual-maroon-shirt/p/itm5c54ab1be1c00?pid=SHTFTHGB5GFYG7UF&lid=LSTSHTFTHGB5GFYG7UFJHKHSU&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_6&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTFTHGB5GFYG7UF.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/kpydrbk0/shirt/x/j/x/l-c301-darkred-dennis-lingo-original-imag42pwzynahcxx.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
6,https://www.flipkart.com/dennis-lingo-men-checkered-casual-green-shirt/p/itmeab78b021d736?pid=SHTFN86EMHXWPXPG&lid=LSTSHTFN86EMHXWPXPGWRAT6T&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_7&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTFN86EMHXWPXPG.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/knunf680/shirt/p/k/o/xxl-c442-olive-dennis-lingo-original-imag2fp7s6dytdxf.jpeg?q=50,Dennis Lingo ,₹699,4.3,shirts
7,https://www.flipkart.com/van-heusen-men-solid-formal-white-shirt/p/itmf3x8hfbumuphj?pid=SHTFFE9SB6FRQXKA&lid=LSTSHTFFE9SB6FRQXKAJTBGDN&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_8&otracker=browse&fm=organic&iid=en_R4Nwnvi%2FSd2x%2BLUaYmXTQOTll5atEheK%2FELcJM8GfKESSMGqdIyv%2F0QPcmGhb7MdYpDZV1n6CKxjsLbcqYf83A%3D%3D&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/je34pzk0/shirt/w/e/7/42-vhsf1m76814-van-heusen-original-imaf2uqhu9ybmfzv.jpeg?q=50,VAN HEUSEN ,"₹1,954",4.3,shirts
8,https://www.flipkart.com/roadster-men-checkered-casual-grey-shirt/p/itm37e4db4a74b7e?pid=SHTFQEG8GWDZGKYN&lid=LSTSHTFQEG8GWDZGKYN7W1AXH&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_9&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTFQEG8GWDZGKYN.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/k8ddoy80/shirt/r/h/j/44-11326702-roadster-original-imafqes7ct8psybp.jpeg?q=50,Roadster ,₹649,4.2,shirts
9,https://www.flipkart.com/dennis-lingo-men-solid-casual-purple-shirt/p/itmf3x7e3t6kkxd9?pid=SHTEWSUFFXXFTZGU&lid=LSTSHTEWSUFFXXFTZGUBTIL7F&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk&srno=b_1_10&otracker=browse&fm=organic&iid=18776076-c2ce-4220-809b-817558b94de9.SHTEWSUFFXXFTZGU.SEARCH&ppt=None&ppn=None&ssid=g277d0ymhc0000001656496922405,https://rukminim1.flixcart.com/image/330/396/l2hwwi80/shirt/p/o/f/xxl-c301-purple-dennis-lingo-original-imagdtnmbksjbgjz.jpeg?q=50,Dennis Lingo ,₹500,4.1,shirts
